127.0.0.1, 2020-04-11 12:09:12, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:09:12, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000997
127.0.0.1, 2020-04-11 12:09:12, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:09:12, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000975
127.0.0.1, 2020-04-11 12:09:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2020-04-11 12:09:13, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000990
127.0.0.1, 2020-04-11 12:09:13, GET, /jobs/static/Recommendation Tester_files/jquery-3.js, HTTP/1.1, 404, 0.001992
127.0.0.1, 2020-04-11 12:09:13, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000997
127.0.0.1, 2020-04-11 12:09:13, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:09:13, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:09:16, GET, /jobs/static/Recommendation Tester_files/jquery-3.js, HTTP/1.1, 404, 0.000998
127.0.0.1, 2020-04-11 12:09:16, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:09:16, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000996
127.0.0.1, 2020-04-11 12:09:16, GET, /jobs/static/Recommendation Tester_files/axios.js, HTTP/1.1, 404, 0.000995
127.0.0.1, 2020-04-11 12:09:16, GET, /jobs/static/Recommendation Tester_files/swiggy-card-logo.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:10:02, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:10:08, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.012996
127.0.0.1, 2020-04-11 12:10:08, GET, /jobs/static/test_files/swiggy-card-logo.png, HTTP/1.1, 200, 0.001994
127.0.0.1, 2020-04-11 12:10:08, GET, /jobs/static/test_files/axios.js, HTTP/1.1, 200, 0.033940
127.0.0.1, 2020-04-11 12:10:08, GET, /jobs/static/test_files/jquery-3.js, HTTP/1.1, 200, 0.117685
127.0.0.1, 2020-04-11 12:10:08, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.001989
127.0.0.1, 2020-04-11 12:10:14, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-04-11 12:10:14, GET, /jobs/static/test_files/jquery-3.js, HTTP/1.1, 304, 0.001994
127.0.0.1, 2020-04-11 12:10:14, GET, /jobs/static/test_files/axios.js, HTTP/1.1, 304, 0.000997
127.0.0.1, 2020-04-11 12:10:14, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.001994
127.0.0.1, 2020-04-11 12:10:14, GET, /jobs/static/test_files/swiggy-card-logo.png, HTTP/1.1, 304, 0.000998
127.0.0.1, 2020-04-11 12:10:16, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.001030
127.0.0.1, 2020-04-11 12:10:16, GET, /jobs/static/test_files/jquery-3.js, HTTP/1.1, 304, 0.000997
127.0.0.1, 2020-04-11 12:10:16, GET, /jobs/static/test_files/axios.js, HTTP/1.1, 304, 0.000997
127.0.0.1, 2020-04-11 12:10:16, GET, /jobs/static/test_files/swiggy-card-logo.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-04-11 12:10:16, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.000998
127.0.0.1, 2020-04-11 12:10:18, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.000836
127.0.0.1, 2020-04-11 12:10:18, GET, /jobs/static/test_files/jquery-3.js, HTTP/1.1, 304, 0.000998
127.0.0.1, 2020-04-11 12:10:18, GET, /jobs/static/test_files/axios.js, HTTP/1.1, 304, 0.001994
127.0.0.1, 2020-04-11 12:10:18, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.000997
127.0.0.1, 2020-04-11 12:10:18, GET, /jobs/static/test_files/swiggy-card-logo.png, HTTP/1.1, 304, 0.000998
127.0.0.1, 2020-04-11 12:10:27, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.001024
127.0.0.1, 2020-04-11 12:10:27, GET, /jobs/static/test_files/jquery-3.js, HTTP/1.1, 304, 0.000984
127.0.0.1, 2020-04-11 12:10:27, GET, /jobs/static/test_files/axios.js, HTTP/1.1, 304, 0.000994
127.0.0.1, 2020-04-11 12:10:27, GET, /jobs/static/test_files/swiggy-card-logo.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-04-11 12:10:27, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.001988
127.0.0.1, 2020-04-11 12:12:39, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:12:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2020-04-11 12:12:44, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:12:44, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.002992
127.0.0.1, 2020-04-11 12:12:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-04-11 12:12:48, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.001000
127.0.0.1, 2020-04-11 12:12:49, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 404, 0.000997
127.0.0.1, 2020-04-11 12:12:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-04-11 12:14:12, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.001027
127.0.0.1, 2020-04-11 12:14:12, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 500, 0.292109
127.0.0.1, 2020-04-11 12:14:16, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-04-11 12:14:16, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 500, 0.078789
127.0.0.1, 2020-04-11 12:15:22, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.001028
127.0.0.1, 2020-04-11 12:15:23, POST, /jobs/controller/default/call/json/get_recommendations, HTTP/1.1, 404, 0.016955
127.0.0.1, 2020-04-11 12:15:26, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000998
127.0.0.1, 2020-04-11 12:49:35, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000000
127.0.0.1, 2020-04-11 12:49:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2020-04-11 12:49:42, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:49:42, POST, /jobs/controller/default/call/json/get_recommendations, HTTP/1.1, 404, 0.015957
127.0.0.1, 2020-04-11 12:50:02, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:50:03, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 500, 0.068815
127.0.0.1, 2020-04-11 12:50:04, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.000998
127.0.0.1, 2020-04-11 12:50:05, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 500, 0.074799
127.0.0.1, 2020-04-11 12:51:50, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:51:50, POST, /jobs/controllers/default/call/json/get_recommendations, HTTP/1.1, 404, 0.019947
127.0.0.1, 2020-04-11 12:52:03, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:52:03, POST, /jobs/controllers/default.py/call/json/get_recommendations, HTTP/1.1, 404, 0.017952
127.0.0.1, 2020-04-11 12:52:05, GET, /jobs/static/test.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2020-04-11 12:52:05, POST, /jobs/controllers/default.py/call/json/get_recommendations, HTTP/1.1, 404, 0.019947
127.0.0.1, 2020-04-11 12:52:54, GET, /movies/static/test.html, HTTP/1.1, 404, 0.000997
127.0.0.1, 2020-04-11 12:52:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
127.0.0.1, 2020-04-11 12:53:04, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2020-04-11 12:53:04, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 500, 0.062830
127.0.0.1, 2020-04-11 12:53:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2020-04-11 12:54:29, GET, /jobs/static/test.html, HTTP/1.1, 200, 0.001029
127.0.0.1, 2020-04-11 12:54:38, POST, /jobs/default/call/json/get_recommendations, HTTP/1.1, 200, 8.941468
